id,shortURI,URI,command
101,"http://t9w.os.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/LFOV-TRMS/","mkdir LFOV-TRMS"
102,"http://t9w.ou.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/QY5N-SLXP/","mkdir QY5N-SLXP"
103,"http://t9w.ox.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/U9UG-8PMY/","mkdir U9UG-8PMY"
104,"http://t9w.oy.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/NKQP-VSTU/","mkdir NKQP-VSTU"
105,"http://t9w.p0.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/LL07-JX7Z/","mkdir LL07-JX7Z"
106,"http://t9w.p2.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/H84O-Y4Y5/","mkdir H84O-Y4Y5"
107,"http://t9w.p5.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/IO9G-PVG1/","mkdir IO9G-PVG1"
108,"http://t9w.p6.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/J32I-JGH3/","mkdir J32I-JGH3"
109,"http://t9w.p8.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/W7BM-T7JE/","mkdir W7BM-T7JE"
110,"http://t9w.pb.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/577W-HUPB/","mkdir 577W-HUPB"
111,"http://t9w.pc.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/CNBV-QYIH/","mkdir CNBV-QYIH"
112,"http://t9w.pf.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/VUUY-FI2H/","mkdir VUUY-FI2H"
113,"http://t9w.pg.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/JQXT-8T7X/","mkdir JQXT-8T7X"
114,"http://t9w.pi.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/0CD8-S92S/","mkdir 0CD8-S92S"
115,"http://t9w.pk.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/1LFA-JSXZ/","mkdir 1LFA-JSXZ"
116,"http://t9w.pm.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/44BP-421K/","mkdir 44BP-421K"
117,"http://t9w.po.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/8JBY-BZKW/","mkdir 8JBY-BZKW"
118,"http://t9w.pq.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/LFDA-14JM/","mkdir LFDA-14JM"
119,"http://t9w.ps.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/8NVD-MZE8/","mkdir 8NVD-MZE8"
120,"http://t9w.pv.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/7W02-X7D1/","mkdir 7W02-X7D1"
121,"http://t9w.px.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/KUO6-X338/","mkdir KUO6-X338"
122,"http://t9w.py.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/HYGD-8UEQ/","mkdir HYGD-8UEQ"
123,"http://t9w.q0.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/ZQ8C-0IW9/","mkdir ZQ8C-0IW9"
124,"http://t9w.q2.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/XS6J-T5I6/","mkdir XS6J-T5I6"
125,"http://t9w.q4.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/Z2OD-WUQI/","mkdir Z2OD-WUQI"
126,"http://t9w.q6.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/0W1V-8MME/","mkdir 0W1V-8MME"
127,"http://t9w.q8.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/SVOL-XBDM/","mkdir SVOL-XBDM"
128,"http://t9w.qb.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/COZL-9YGU/","mkdir COZL-9YGU"
129,"http://t9w.qc.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/G9WH-9PPO/","mkdir G9WH-9PPO"
130,"http://t9w.qf.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/R7WV-JZVC/","mkdir R7WV-JZVC"
131,"http://t9w.qg.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/8TME-O2IK/","mkdir 8TME-O2IK"
132,"http://t9w.qi.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/2MTQ-TTVS/","mkdir 2MTQ-TTVS"
133,"http://t9w.qk.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/8Q3N-HITJ/","mkdir 8Q3N-HITJ"
134,"http://t9w.qn.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/D78R-5W56/","mkdir D78R-5W56"
135,"http://t9w.qo.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/G3RN-NTZB/","mkdir G3RN-NTZB"
136,"http://t9w.qq.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/6PDE-S953/","mkdir 6PDE-S953"
137,"http://t9w.qs.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/1Q1X-DGL4/","mkdir 1Q1X-DGL4"
138,"http://t9w.qu.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/IHQ4-7Y8N/","mkdir IHQ4-7Y8N"
139,"http://t9w.qx.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/P5RT-EDL0/","mkdir P5RT-EDL0"
140,"http://t9w.qy.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/2LON-HMAM/","mkdir 2LON-HMAM"
141,"http://t9w.r1.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/SZYY-0M2R/","mkdir SZYY-0M2R"
142,"http://t9w.r2.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/DM4E-BTEW/","mkdir DM4E-BTEW"
143,"http://t9w.r4.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/5ES1-873B/","mkdir 5ES1-873B"
144,"http://t9w.r6.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/CBK0-460R/","mkdir CBK0-460R"
145,"http://t9w.r8.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/C2HO-OBT4/","mkdir C2HO-OBT4"
146,"http://t9w.ra.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/GE17-L5HU/","mkdir GE17-L5HU"
147,"http://t9w.rc.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/O8B5-19YG/","mkdir O8B5-19YG"
148,"http://t9w.re.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/EQL6-IQZ5/","mkdir EQL6-IQZ5"
149,"http://t9w.rg.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/A6K5-YJVI/","mkdir A6K5-YJVI"
150,"http://t9w.rj.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/1H58-CIOG/","mkdir 1H58-CIOG"
151,"http://t9w.rk.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/EBHR-VB4Z/","mkdir EBHR-VB4Z"
152,"http://t9w.rm.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/3CAZ-6HHR/","mkdir 3CAZ-6HHR"
153,"http://t9w.ro.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/QC0J-GII1/","mkdir QC0J-GII1"
154,"http://t9w.rq.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/FY85-Q4CG/","mkdir FY85-Q4CG"
155,"http://t9w.rs.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/3AEU-GY70/","mkdir 3AEU-GY70"
156,"http://t9w.ru.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/MYKD-8180/","mkdir MYKD-8180"
157,"http://t9w.rx.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/55QU-MPFL/","mkdir 55QU-MPFL"
158,"http://t9w.rz.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/7ZAX-RMOY/","mkdir 7ZAX-RMOY"
159,"http://t9w.s0.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/LWYG-90YU/","mkdir LWYG-90YU"
160,"http://t9w.s3.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/4ZQO-63B7/","mkdir 4ZQO-63B7"
161,"http://t9w.s4.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/Y5LZ-T8WY/","mkdir Y5LZ-T8WY"
162,"http://t9w.s6.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/K933-RDD8/","mkdir K933-RDD8"
163,"http://t9w.s8.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/MNZ5-TYPC/","mkdir MNZ5-TYPC"
